rank,player,first_name,last_name,position,height,team,overall,3pt,dunk
30,Austin Reaves,Austin,Reaves,SG/SF,"6'5""",LAL,88,83,70
31,Deni Avdija,Deni,Avdija,SF/PG,"6'9""",POR,88,79,75
32,Jalen Johnson,Jalen,Johnson,PF/SF,"6'8""",ATL,88,78,96
33,Ja Morant,Ja,Morant,PG/SG,"6'2""",MEM,87,72,96
34,Jalen Williams,Jalen,Williams,SF/PF,"6'5""",OKC,87,79,80
35,Paolo Banchero,Paolo,Banchero,PF/SF,"6'10""",ORL,87,78,85
36,Evan Mobley,Evan,Mobley,PF/C,"6'11""",CLE,87,73,85
37,Pascal Siakam,Pascal,Siakam,PF/C,"6'8""",IND,87,81,80
38,Alperen Sengun,Alperen,Sengun,C/PF,"6'11""",HOU,87,72,80
39,Zion Williamson,Zion,Williamson,PF/PG,"6'6""",NOP,87,67,93
40,Franz Wagner,Franz,Wagner,SF/PF,"6'10""",ORL,87,80,80
41,Julius Randle,Julius,Randle,PF/C,"6'9""",MIN,87,75,80
42,Scottie Barnes,Scottie,Barnes,PF/PG,"6'7""",TOR,87,75,80
43,Lauri Markkanen,Lauri,Markkanen,PF/SF,"7'0""",UTA,87,83,80
44,Jalen Duren,Jalen,Duren,C,"6'10""",DET,87,35,95
45,Cooper Flagg,Cooper,Flagg,SF/PG,"6'9""",DAL,87,75,80
46,Keyonte George,Keyonte,George,PG/SG,"6'4""",UTA,87,81,65
47,Jaren Jackson Jr.,Jaren,Jackson Jr.,PF/C,"6'10""",UTA,86,79,80
48,Domantas Sabonis,Domantas,Sabonis,C,"6'10""",SAC,86,70,75
49,LaMelo Ball,LaMelo,Ball,PG/SG,"6'7""",CHA,86,80,75
50,Amen Thompson,Amen,Thompson,SG/PG,"6'7""",HOU,86,58,96
51,Tyler Herro,Tyler,Herro,SG/PG,"6'5""",MIA,86,83,60
52,De'Aaron Fox,De'Aaron,Fox,PG/SG,"6'3""",SAS,86,78,80
53,Brandon Ingram,Brandon,Ingram,SF/PF,"6'8""",TOR,86,79,80
54,Norman Powell,Norman,Powell,SF/SG,"6'4""",MIA,86,86,80
55,Michael Porter Jr.,Michael,Porter Jr.,SF/PF,"6'10""",BKN,86,85,80
56,Brandon Miller,Brandon,Miller,SG/SF,"6'7""",CHA,86,81,87
57,Trey Murphy III,Trey,Murphy III,SG/SF,"6'8""",NOP,86,81,88
58,Ivica Zubac,Ivica,Zubac,C,"7'0""",IND,85,26,80
59,Derrick White,Derrick,White,SG/PG,"6'4""",BOS,85,77,55
60,OG Anunoby,OG,Anunoby,SF/PF,"6'7""",NYK,85,81,85
61,Rudy Gobert,Rudy,Gobert,C,"7'1""",MIN,85,25,75
62,Jarrett Allen,Jarrett,Allen,C,"6'9""",CLE,85,63,85
63,Stephon Castle,Stephon,Castle,SG/PG,"6'6""",SAS,85,73,88
64,Josh Giddey,Josh,Giddey,PG/SG,"6'8""",CHI,85,81,65
65,Shaedon Sharpe,Shaedon,Sharpe,SG/PG,"6'5""",POR,85,76,95
66,Kon Knueppel,Kon,Knueppel,SF/SG,"6'7""",CHA,85,92,55
67,Dillon Brooks,Dillon,Brooks,PF/SF,"6'6""",PHX,85,80,75
68,Darius Garland,Darius,Garland,PG/SG,"6'1""",LAC,84,84,40
69,DeMar DeRozan,DeMar,DeRozan,SF/PF,"6'6""",SAC,84,77,80
70,Kristaps Porzingis,Kristaps,Porzingis,C/PF,"7'2""",GSW,84,80,75
71,Mikal Bridges,Mikal,Bridges,SG/SF,"6'6""",NYK,84,82,75
72,Desmond Bane,Desmond,Bane,SG/SF,"6'5""",ORL,84,84,75
73,Aaron Gordon,Aaron,Gordon,PF/C,"6'8""",DEN,84,84,94
74,Immanuel Quickley,Immanuel,Quickley,PG/SG,"6'2""",TOR,84,80,55
75,Alexandre Sarr,Alexandre,Sarr,C/PF,"7'0""",WAS,84,78,85
76,Donovan Clingan,Donovan,Clingan,C,"7'2""",POR,84,75,75
77,Zach LaVine,Zach,LaVine,SG/SF,"6'5""",SAC,83,86,94
78,Dyson Daniels,Dyson,Daniels,SG/PG,"6'7""",ATL,83,50,75
79,Naz Reid,Naz,Reid,C/PF,"6'9""",MIN,83,83,80
80,Nikola Vucevic,Nikola,Vucevic,C,"6'10""",BOS,83,81,65
81,Jalen Suggs,Jalen,Suggs,PG/SG,"6'5""",ORL,83,78,80
82,Isaiah Hartenstein,Isaiah,Hartenstein,C,"7'0""",OKC,83,55,80
83,Jaden McDaniels,Jaden,McDaniels,SF/PF,"6'9""",MIN,83,86,75
84,Walker Kessler,Walker,Kessler,C,"7'0""",UTA,83,70,75
85,Jrue Holiday,Jrue,Holiday,PG/SG,"6'4""",POR,83,80,65
86,C.J. McCollum,C.J.,McCollum,PG/SG,"6'3""",ATL,83,84,40
87,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,PG/SG,"6'5""",ATL,83,82,60
88,Peyton Watson,Peyton,Watson,SF/PF,"6'7""",DEN,83,85,65
89,Anthony Black,Anthony,Black,PG/SG,"6'7""",ORL,83,78,75
90,Ausar Thompson,Ausar,Thompson,SF/PF,"6'6""",DET,83,72,91
91,Grayson Allen,Grayson,Allen,SG/SF,"6'4""",PHX,83,86,70
92,Payton Pritchard,Payton,Pritchard,PG,"6'1""",BOS,83,78,35
93,R.J. Barrett,R.J.,Barrett,SG/SF,"6'6""",TOR,82,78,80
94,Toumani Camara,Toumani,Camara,PF/SF,"6'7""",POR,82,79,75
95,Josh Hart,Josh,Hart,PF/SF,"6'4""",NYK,82,83,70
96,Paul George,Paul,George,PF/SF,"6'8""",PHI,82,82,80
97,Onyeka Okongwu,Onyeka,Okongwu,C,"6'10""",ATL,82,80,85
98,Andrew Nembhard,Andrew,Nembhard,PG/SG,"6'4""",IND,82,80,60
99,Jerami Grant,Jerami,Grant,PF/SF,"6'7""",POR,82,81,85
100,Mark Williams,Mark,Williams,C,"7'0""",PHX,82,36,75
